Tweet,sentiments,cleaned_tweets,tokens
 will be a blessing tomorrow happy  Keep your faith stirred up each day!,1,will be a blessing tomorrow happy Keep your faith stirred up each day,"['will', 'blessing', 'tomorrow', 'happy', 'keep', 'faith', 'stirred', 'day']"
Mmmmmmmm love naughty wives smile,1,Mmmmmmmm love naughty wives smile,"['mmmmmmmm', 'love', 'naughty', 'wife', 'smile']"
You deserve a vacation happy,1,You deserve a vacation happy,"['deserve', 'vacation', 'happy']"
Never known how hard it is until last to  days how to resist temptation to enter politics debates on social media happy  stood firm so far,1,Never known how hard it is until last to days how to resist temptation to enter politics debates on social media happy stood firm so far,"['never', 'known', 'hard', 'last', 'day', 'resist', 'temptation', 'enter', 'politics', 'debate', 'social', 'medium', 'happy', 'stood', 'firm', 'far']"
Some summer salad inspiration for the BBQ smile,1,Some summer salad inspiration for the BBQ smile,"['summer', 'salad', 'inspiration', 'bbq', 'smile']"
Hey thanks for being top new followers this week! Much appreciated happy  Want this ?,1,Hey thanks for being top new followers this week Much appreciated happy Want this,"['hey', 'thanks', 'top', 'new', 'follower', 'week', 'much', 'appreciated', 'happy', 'want']"
you should post this offer on this website happy,1,you should post this offer on this website happy,"['should', 'post', 'offer', 'website', 'happy']"
thanks for being top new followers - have a great week happy,1,thanks for being top new followers have a great week happy,"['thanks', 'top', 'new', 'follower', 'have', 'great', 'week', 'happy']"
I prefer it to sharm - enjoy it happy  Gouna 20km away is also quite nice - honestly anywhere away from crazy cairo is,1,I prefer it to sharm enjoy it happy Gouna km away is also quite nice honestly anywhere away from crazy cairo is,"['prefer', 'sharm', 'enjoy', 'happy', 'gouna', 'km', 'away', 'also', 'quite', 'nice', 'honestly', 'anywhere', 'away', 'crazy', 'cairo']"
Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon,1,Sixth spot not applicable Team Higher pa KISSES TheFashionIcon,"['sixth', 'spot', 'not', 'applicable', 'team', 'higher', 'pa', 'kiss', 'thefashionicon']"
Hey thanks for being top new followers this week! Much appreciated happy,1,Hey thanks for being top new followers this week Much appreciated happy,"['hey', 'thanks', 'top', 'new', 'follower', 'week', 'much', 'appreciated', 'happy']"
thanks for the recent follow. Much appreciated happy,1,thanks for the recent follow Much appreciated happy,"['thanks', 'recent', 'follow', 'much', 'appreciated', 'happy']"
Thanks Lala.. Much needed happy,1,Thanks Lala Much needed happy,"['thanks', 'lala', 'much', 'needed', 'happy']"
Thanks for connecting We are passionate about  - hope you like our tweets happy,1,Thanks for connecting We are passionate about hope you like our tweets happy,"['thanks', 'connecting', 'passionate', 'hope', 'like', 'tweet', 'happy']"
hey,1,hey,['hey']
 keep smiling happy,1,keep smiling happy,"['keep', 'smiling', 'happy']"
Said it yesterday... happy,1,Said it yesterday happy,"['said', 'yesterday', 'happy']"
We love that our bloggers love us so much happy  Thank you for such an amazing review The Perfect Glasses h,1,We love that our bloggers love us so much happy Thank you for such an amazing review The Perfect Glasses h,"['love', 'blogger', 'love', 'u', 'much', 'happy', 'thank', 'amazing', 'review', 'perfect', 'glass', 'h']"
only way to make sense of those crazy edge cases is the idea of sharing revenue was offensive,1,only way to make sense of those crazy edge cases is the idea of sharing revenue was offensive,"['way', 'make', 'sense', 'crazy', 'edge', 'case', 'idea', 'sharing', 'revenue', 'offensive']"
 rather,1,rather,['rather']
Gentle reminder on our TP guidelines happy  please read and spread. Thank you. happy KISSES TheFashionIcon,1,Gentle reminder on our TP guidelines happy please read and spread Thank you happy KISSES TheFashionIcon,"['gentle', 'reminder', 'tp', 'guideline', 'happy', 'please', 'read', 'spread', 'thank', 'happy', 'kiss', 'thefashionicon']"
keep being you,1,keep being you,['keep']
 cheeky :D,1,cheeky D,['cheeky']
smile  So true. For someone who was being recognised for her contribution to fashion,1,smile So true For someone who was being recognised for her contribution to fashion,"['smile', 'true', 'someone', 'recognised', 'contribution', 'fashion']"
 she might have dressed a bit better.,1,she might have dressed a bit better,"['might', 'have', 'dressed', 'bit', 'better']"
sounds like a lot of fun :D I like it,1,sounds like a lot of fun D I like it,"['sound', 'like', 'lot', 'fun', 'like']"
Oh,1,Oh,['oh']
 Jin was spotted at Everland today. Nice to see them having a break after the US tour happy,1,Jin was spotted at Everland today Nice to see them having a break after the US tour happy,"['jin', 'spotted', 'everland', 'today', 'nice', 'see', 'having', 'break', 'u', 'tour', 'happy']"
There was nothing religious in it. is calling out sexism. I don't think I need to spell out my stand,1,There was nothing religious in it is calling out sexism I dont think I need to spell out my stand,"['nothing', 'religious', 'calling', 'out', 'sexism', 'dont', 'think', 'need', 'spell', 'out', 'stand']"
Go back to school for music! I think I will in time happy,1,Go back to school for music I think I will in time happy,"['go', 'back', 'school', 'music', 'think', 'will', 'time', 'happy']"
Theres only one thing I want to change about you . Your Last Name happy  ALDUBOnly,1,Theres only one thing I want to change about you Your Last Name happy ALDUBOnly,"['there', 'one', 'thing', 'want', 'change', 'last', 'name', 'happy', 'aldubonly']"
welcome brother  happy,1,welcome brother happy,"['welcome', 'brother', 'happy']"
Thanks for the recent follow Happy to connect happy  have a great Thursday.,1,Thanks for the recent follow Happy to connect happy have a great Thursday,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday']"
SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it,1,SONE who cant stream at GenieYou CAN stream for TY at Genie We are still sharing some Genie IDs If you want it,"['sone', 'cant', 'stream', 'genieyou', 'can', 'stream', 'ty', 'genie', 'still', 'sharing', 'genie', 'id', 'want']"
 DM us happy  S,1,DM us happy S,"['dm', 'u', 'happy']"
Spending time with dogs or other animals is great at helping you to relax and de-stress. Great idea happy,1,Spending time with dogs or other animals is great at helping you to relax and destress Great idea happy,"['spending', 'time', 'dog', 'animal', 'great', 'helping', 'relax', 'destress', 'great', 'idea', 'happy']"
My new video for happy  I hope you like ithappy,1,My new video for happy I hope you like ithappy,"['new', 'video', 'happy', 'hope', 'like', 'ithappy']"
Got This interview poppin happy  $$$$$,1,Got This interview poppin happy,"['got', 'interview', 'poppin', 'happy']"
Love your tweetability! We'd like to reach out to with an opportunity! Could you hit us with your email happy,1,Love your tweetability Wed like to reach out to with an opportunity Could you hit us with your email happy,"['love', 'tweetability', 'wed', 'like', 'reach', 'out', 'opportunity', 'could', 'hit', 'u', 'email', 'happy']"
Thanks for the recent follow Happy to connect happy  have a great Thursday.,1,Thanks for the recent follow Happy to connect happy have a great Thursday,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday']"
uss,1,uss,['us']
 I'll DM you half naked pictures happy,1,Ill DM you half naked pictures happy,"['ill', 'dm', 'half', 'naked', 'picture', 'happy']"
Evet happy,1,Evet happy,"['evet', 'happy']"
Well,1,Well,['well']
 I hope it doesn't last too long and you at least get to enjoy the weekend. And happy birthday again happy,1,I hope it doesnt last too long and you at least get to enjoy the weekend And happy birthday again happy,"['hope', 'doesnt', 'last', 'long', 'least', 'get', 'enjoy', 'weekend', 'happy', 'birthday', 'happy']"
Excited about event next week in Bangalore!  come happy,1,Excited about event next week in Bangalore come happy,"['excited', 'event', 'next', 'week', 'bangalore', 'come', 'happy']"
Want to win a pet chick happy  Simply follow  retweet for your chance to win! Winners will be selected Sunday 23rd. Go,1,Want to win a pet chick happy Simply follow retweet for your chance to win Winners will be selected Sunday Go,"['want', 'win', 'pet', 'chick', 'happy', 'simply', 'follow', 'retweet', 'chance', 'win', 'winner', 'will', 'selected', 'sunday', 'go']"
Top retweeters this week,1,Top retweeters this week,"['top', 'retweeters', 'week']"
 Thank you happy,1,Thank you happy,"['thank', 'happy']"
dope!! that's a cool word. finally down with the hip young millenial memers smile,1,dope thats a cool word finally down with the hip young millenial memers smile,"['dope', 'thats', 'cool', 'word', 'finally', 'hip', 'young', 'millenial', 'memers', 'smile']"
2nd Cousin Vlad !!!!! maybe thats a message from the Hockey G,1,nd Cousin Vlad maybe thats a message from the Hockey G,"['nd', 'cousin', 'vlad', 'maybe', 'thats', 'message', 'hockey', 'g']"
Thanks for the recent follow Happy to connect happy  have a great Thursday. (Want this?,1,Thanks for the recent follow Happy to connect happy have a great Thursday Want this,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday', 'want']"
Earlier happy,1,Earlier happy,"['earlier', 'happy']"
Just win at weekend and it will be a late gift,1,Just win at weekend and it will be a late gift,"['just', 'win', 'weekend', 'will', 'late', 'gift']"
 ok? :D,1,ok D,['ok']
we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it,1,we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it,"['finally', 'got', 'jinyoung', 'wipe', 'jaebum', 'but', 'precious', 'son', 'block', 'world', 'witness']"
Here is question 18! Make sure to use in all your tweets  replies happy,1,Here is question  Make sure to use in all your tweets replies happy,"['question', 'make', 'sure', 'use', 'tweet', 'reply', 'happy']"
And this credit also goes to Ik happy,1,And this credit also goes to Ik happy,"['credit', 'also', 'go', 'ik', 'happy']"
My other accounts:them both or get rekt! :D,1,My other accountsthem both or get rekt D,"['accountsthem', 'get', 'rekt']"
Hey thanks for being top new followers this week! Much appreciated happy,1,Hey thanks for being top new followers this week Much appreciated happy,"['hey', 'thanks', 'top', 'new', 'follower', 'week', 'much', 'appreciated', 'happy']"
Les videre happy,1,Les videre happy,"['le', 'videre', 'happy']"
clauditte,1,clauditte,['clauditte']
my friend is such an egg,1,my friend is such an egg,"['friend', 'egg']"
congratulations David! Well done Mrs V! Welcome Jessica! happy,1,congratulations David Well done Mrs V Welcome Jessica happy,"['congratulation', 'david', 'well', 'done', 'mr', 'v', 'welcome', 'jessica', 'happy']"
have you tried these new hacks?! **TRYING DUMB LIFE HACKS 17**,1,have you tried these new hacks TRYING DUMB LIFE HACKS ,"['have', 'tried', 'new', 'hack', 'trying', 'dumb', 'life', 'hack']"
Keep tweeting team. Higher! Thank you for the efforts. :)KISSES TheFashionIcon,1,Keep tweeting team Higher Thank you for the efforts KISSES TheFashionIcon,"['keep', 'tweeting', 'team', 'higher', 'thank', 'effort', 'kiss', 'thefashionicon']"
here are some very happy boys to brighten up your day happy,1,here are some very happy boys to brighten up your day happy,"['very', 'happy', 'boy', 'brighten', 'day', 'happy']"
A huge thank you to all the within the Social Work  Care Sectors! Keep up the great work happy,1,A huge thank you to all the within the Social Work Care Sectors Keep up the great work happy,"['huge', 'thank', 'within', 'social', 'work', 'care', 'sector', 'keep', 'great', 'work', 'happy']"
Lunchtime with Flinthook! This game has so much personality :D,1,Lunchtime with Flinthook This game has so much personality D,"['lunchtime', 'flinthook', 'game', 'ha', 'much', 'personality']"
Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,1,Ministers of PMLN are happy like those students who never studied for exams luckily exams got delayed Theyll still ha,"['minister', 'pmln', 'happy', 'like', 'student', 'never', 'studied', 'exam', 'luckily', 'exam', 'got', 'delayed', 'theyll', 'still', 'ha']"
:D When mom is a bit tired,1,D When mom is a bit tired,"['mom', 'bit', 'tired']"
What we did after the climax shot happy,1,What we did after the climax shot happy,"['did', 'climax', 'shot', 'happy']"
Miss Petite happy Thursday happy   looking forward to the weekend?,1,Miss Petite happy Thursday happy looking forward to the weekend,"['miss', 'petite', 'happy', 'thursday', 'happy', 'looking', 'forward', 'weekend']"
rt  quote with your name for a calligraphy of it happy  i'll try my best to make it pretty!! non mutuals/mutuals (ifb) fl,1,rt quote with your name for a calligraphy of it happy ill try my best to make it pretty non mutualsmutuals ifb fl,"['quote', 'name', 'calligraphy', 'happy', 'ill', 'try', 'best', 'make', 'pretty', 'non', 'mutualsmutuals', 'ifb', 'fl']"
mutual: let's talk more!me: for sure!mutual:  happy  me:,1,mutual lets talk moreme for suremutual happy me,"['mutual', 'let', 'talk', 'moreme', 'suremutual', 'happy']"
I got TH will add sim ant as a possible thanks happy,1,I got TH will add sim ant as a possible thanks happy,"['got', 'th', 'will', 'add', 'sim', 'ant', 'possible', 'thanks', 'happy']"
If you want a friend in Washington,1,If you want a friend in Washington,"['want', 'friend', 'washington']"
 get a dog. :D,1,get a dog D,"['get', 'dog']"
Congrats Winner :D and it's Eyounji you did well my girl,1,Congrats Winner D and its Eyounji you did well my girl,"['congrats', 'winner', 'eyounji', 'did', 'well', 'girl']"
Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?,1,Did you notice There is no killings of RSS BJP workers in another Southern State CM is dismantling Xtian infra in Munnar,"['did', 'notice', 'no', 'killing', 'r', 'bjp', 'worker', 'another', 'southern', 'state', 'cm', 'dismantling', 'xtian', 'infra', 'munnar']"
Hi please rt my pinned post happy,1,Hi please rt my pinned post happy,"['hi', 'please', 'pinned', 'post', 'happy']"
The video will definitely be a 30 minute episode if not longer.,1,The video will definitely be a  minute episode if not longer,"['video', 'will', 'definitely', 'minute', 'episode', 'not', 'longer']"
I would love to win these gorgeous nail polishes :D! Aren't they cute,1,I would love to win these gorgeous nail polishes D Arent they cute,"['would', 'love', 'win', 'gorgeous', 'nail', 'polish', 'arent', 'cute']"
Jae celebrating with Sheena Easton after the triumphant opening night of 42nd Street in the West End! happy,1,Jae celebrating with Sheena Easton after the triumphant opening night of Street in the West End happy,"['jae', 'celebrating', 'sheena', 'easton', 'triumphant', 'opening', 'night', 'street', 'west', 'end', 'happy']"
Happy belated birthday :)Another duet of you and Amaal is much needed,1,Happy belated birthday Another duet of you and Amaal is much needed,"['happy', 'belated', 'birthday', 'another', 'duet', 'amaal', 'much', 'needed']"
Your titties are fantastic. Kissy Kissy,1,Your titties are fantastic Kissy Kissy,"['titty', 'fantastic', 'kissy', 'kissy']"
Pls RT[NCT FIC] Love Song,1,Pls RTNCT FIC Love Song,"['pls', 'rtnct', 'fic', 'love', 'song']"
Goodevening happy,1,Goodevening happy,"['goodevening', 'happy']"
Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,1,Ministers of PMLN are happy like those students who never studied for exams luckily exams got delayed Theyll still ha,"['minister', 'pmln', 'happy', 'like', 'student', 'never', 'studied', 'exam', 'luckily', 'exam', 'got', 'delayed', 'theyll', 'still', 'ha']"
Thanks for the retweets this week. Much appreciated happy   Want this,1,Thanks for the retweets this week Much appreciated happy Want this,"['thanks', 'retweets', 'week', 'much', 'appreciated', 'happy', 'want']"
=Thumbnail UHC= This is my best render ever :Dand Favs are appreciated brosOpinios ?,1,Thumbnail UHC This is my best render ever Dand Favs are appreciated brosOpinios,"['thumbnail', 'uhc', 'best', 'render', 'ever', 'dand', 'favs', 'appreciated', 'brosopinios']"
Thanks again for notifying us! We have updated our add-on plans accordingly happy,1,Thanks again for notifying us We have updated our addon plans accordingly happy,"['thanks', 'notifying', 'u', 'have', 'updated', 'addon', 'plan', 'accordingly', 'happy']"
Very cool! happy  surrounds you for a full recovery.,1,Very cool happy surrounds you for a full recovery,"['very', 'cool', 'happy', 'surround', 'full', 'recovery']"
A nice morning working from today. Lovely atmosphere,1,A nice morning working from today Lovely atmosphere,"['nice', 'morning', 'working', 'today', 'lovely', 'atmosphere']"
 friendly service,1,friendly service,"['friendly', 'service']"
 wifi,1,wifi,['wifi']
 comforting London fog.,1,comforting London fog,"['comforting', 'london', 'fog']"
I just did happy,1,I just did happy,"['just', 'did', 'happy']"
Have a great day everyone happy,1,Have a great day everyone happy,"['have', 'great', 'day', 'everyone', 'happy']"
Kiera's Quest: Awakenings (Kiera's Quest  Book 1),1,Kieras Quest Awakenings Kieras Quest Book ,"['kieras', 'quest', 'awakening', 'kieras', 'quest', 'book']"
Have you voted for The Wolf's Bite on Greenlight yet? happy  help us get Wolfie  Pigs on Steam!,1,Have you voted for The Wolfs Bite on Greenlight yet happy help us get Wolfie Pigs on Steam,"['have', 'voted', 'wolf', 'bite', 'greenlight', 'yet', 'happy', 'help', 'u', 'get', 'wolfie', 'pig', 'steam']"
Go back to school for music! I think I will in time happy,1,Go back to school for music I think I will in time happy,"['go', 'back', 'school', 'music', 'think', 'will', 'time', 'happy']"
Here is a new thesis by another genius.Sir,1,Here is a new thesis by another geniusSir,"['new', 'thesis', 'another', 'geniussir']"
 we loved to have reply by you. :D Now get lost .,1,we loved to have reply by you D Now get lost,"['loved', 'have', 'reply', 'get', 'lost']"
your birthday isn't for another for hours for me,1,your birthday isnt for another for hours for me,"['birthday', 'isnt', 'another', 'hour']"
 but happy birthday hoe! have a good day,1,but happy birthday hoe have a good day,"['but', 'happy', 'birthday', 'hoe', 'have', 'good', 'day']"
 i love you i guess happy,1,i love you i guess happy,"['love', 'guess', 'happy']"
Its hard to see your best friend with another girl happy,1,Its hard to see your best friend with another girl happy,"['hard', 'see', 'best', 'friend', 'another', 'girl', 'happy']"
The offer still going happy,1,The offer still going happy,"['offer', 'still', 'going', 'happy']"
If you can't be there for someone at their worst then you don't deserve to be there at their best :)KISSES TheFashionIcon,1,If you cant be there for someone at their worst then you dont deserve to be there at their best KISSES TheFashionIcon,"['cant', 'someone', 'worst', 'dont', 'deserve', 'best', 'kiss', 'thefashionicon']"
Demit the gocoh game is real crying with joy,1,Demit the gocoh game is real crying with joy,"['demit', 'gocoh', 'game', 'real', 'cry', 'joy']"
Found use for the sewable LED holder happy,1,Found use for the sewable LED holder happy,"['found', 'use', 'sewable', 'led', 'holder', 'happy']"
Select from 14 award-winning Laura Taylor romance ebooks,1,Select from  awardwinning Laura Taylor romance ebooks,"['select', 'awardwinning', 'laura', 'taylor', 'romance', 'ebooks']"
So excited for the things coming in the future happy  things are going great,1,So excited for the things coming in the future happy things are going great,"['excited', 'thing', 'coming', 'future', 'happy', 'thing', 'going', 'great']"
you guys are entertaining and insightful... and one of the reasons i have been really enjoying LPL a lot more this season :D,1,you guys are entertaining and insightful and one of the reasons i have been really enjoying LPL a lot more this season D,"['guy', 'entertaining', 'insightful', 'one', 'reason', 'have', 'really', 'enjoying', 'lpl', 'lot', 'season']"
Thats how it sounds like at superbooth happy,1,Thats how it sounds like at superbooth happy,"['thats', 'sound', 'like', 'superbooth', 'happy']"
i want to learn the choreo but my ugly body says no crying with joy,1,i want to learn the choreo but my ugly body says no crying with joy,"['want', 'learn', 'choreo', 'but', 'ugly', 'body', 'say', 'no', 'cry', 'joy']"
Share the love you're top engaged community members this week! Much Appreciated happy,1,Share the love youre top engaged community members this week Much Appreciated happy,"['share', 'love', 'youre', 'top', 'engaged', 'community', 'member', 'week', 'much', 'appreciated', 'happy']"
Hi Kylie,1,Hi Kylie,"['hi', 'kylie']"
 looking forward to you visiting! You've picked a great day too,1,looking forward to you visiting Youve picked a great day too,"['looking', 'forward', 'visiting', 'youve', 'picked', 'great', 'day']"
 the sun is shining happy,1,the sun is shining happy,"['sun', 'shining', 'happy']"
Ok. Just please read the replies on this....,1,Ok Just please read the replies on this,"['ok', 'just', 'please', 'read', 'reply']"
THIS RIGHT HERE.aren't you happy you don't have [x]???NO. BECAUSE I'M STILL HERE IN THIS 'CONDITION' WITH NO I,1,THIS RIGHT HEREarent you happy you dont have xNO BECAUSE IM STILL HERE IN THIS CONDITION WITH NO I,"['right', 'herearent', 'happy', 'dont', 'have', 'xno', 'im', 'still', 'condition', 'no']"
To all FLA members and officers who are going to Cebu tomorrow silence  Godbless piss off mga ante and angkol!  happy,1,To all FLA members and officers who are going to Cebu tomorrow silence Godbless piss off mga ante and angkol happy,"['fla', 'member', 'officer', 'going', 'cebu', 'tomorrow', 'silence', 'godbless', 'piss', 'mga', 'ante', 'angkol', 'happy']"
for every like ill post an answer smile,1,for every like ill post an answer smile,"['every', 'like', 'ill', 'post', 'answer', 'smile']"
Maybe not a band but we can definitely collab! Hi my name is Philip  happy,1,Maybe not a band but we can definitely collab Hi my name is Philip happy,"['maybe', 'not', 'band', 'but', 'can', 'definitely', 'collab', 'hi', 'name', 'philip', 'happy']"
LEGO_Group: LegoThursdays JokerSquad_SWG LEGOLANDWindsor Sounds like you had lots of fun! happy,1,LEGO_Group LegoThursdays JokerSquad_SWG LEGOLANDWindsor Sounds like you had lots of fun happy,"['lego_group', 'legothursdays', 'jokersquad_swg', 'legolandwindsor', 'sound', 'like', 'had', 'lot', 'fun', 'happy']"
a friend who would like a BRAND NEW Strapback hats only 14.99 at,1,a friend who would like a BRAND NEW Strapback hats only  at,"['friend', 'would', 'like', 'brand', 'new', 'strapback', 'hat']"
yes you had smile,1,yes you had smile,"['yes', 'had', 'smile']"
mata_tytan: almightyTANNER: good evening everyone happy  join our twitter party tonight. official tagline:TANN,1,mata_tytan almightyTANNER good evening everyone happy join our twitter party tonight official taglineTANN,"['mata_tytan', 'almightytanner', 'good', 'evening', 'everyone', 'happy', 'join', 'twitter', 'party', 'tonight', 'official', 'taglinetann']"
First attempts of bird photography. :-)Passer domesticus. How surprising. wink,1,First attempts of bird photography Passer domesticus How surprising wink,"['first', 'attempt', 'bird', 'photography', 'passer', 'domesticus', 'surprising', 'wink']"
People who don%27t know me always think I am quiet. People who do know me. wish I was :)KISSES TheFashionIcon,1,People who dont know me always think I am quiet People who do know me wish I was KISSES TheFashionIcon,"['people', 'dont', 'know', 'always', 'think', 'quiet', 'people', 'do', 'know', 'wish', 'kiss', 'thefashionicon']"
Love you too P!,1,Love you too P,"['love', 'p']"
RT: good evening everyone happy  join our twitter party tonight. official tagline:TANNER WelcomeBackPH TMI,1,RT good evening everyone happy join our twitter party tonight official taglineTANNER WelcomeBackPH TMI,"['good', 'evening', 'everyone', 'happy', 'join', 'twitter', 'party', 'tonight', 'official', 'taglinetanner', 'welcomebackph', 'tmi']"
oh yes happy,1,oh yes happy,"['oh', 'yes', 'happy']"
Hey Robert Rolih thanks for the follow! What does coastal living mean to you? Reply with photo :D,1,Hey Robert Rolih thanks for the follow What does coastal living mean to you Reply with photo D,"['hey', 'robert', 'rolih', 'thanks', 'follow', 'doe', 'coastal', 'living', 'mean', 'reply', 'photo']"
Have you ever been to AUSTRALIA! :D Love your vids. Lovo on youtube :D,1,Have you ever been to AUSTRALIA D Love your vids Lovo on youtube D,"['have', 'ever', 'australia', 'love', 'vids', 'lovo', 'youtube']"
OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY :D .xxENJOY,1,OPENING UP TO YOU LOTRT LIKES WOULD BE LAAAAAVERLY D xxENJOY,"['opening', 'lotrt', 'like', 'would', 'laaaaaverly', 'xxenjoy']"
In other words they never missed articles happy,1,In other words they never missed articles happy,"['word', 'never', 'missed', 'article', 'happy']"
IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet  SM,1,IF THE BELOW TWEET HITS  IS GETTING RIAN HOLDING THE STICKER TOO Click the below tweet SM,"['tweet', 'hit', 'getting', 'rian', 'holding', 'sticker', 'click', 'tweet', 'sm']"
Bill Nye Answers Science Questions From Twitter | WIRED,1,Bill Nye Answers Science Questions From Twitter WIRED,"['bill', 'nye', 'answer', 'science', 'question', 'twitter', 'wired']"
How are you doing today? happy,1,How are you doing today happy,"['doing', 'today', 'happy']"
We're ready for our next fire lighting session at - we have a few keen early birds here already smile,1,Were ready for our next fire lighting session at we have a few keen early birds here already smile,"['ready', 'next', 'fire', 'lighting', 'session', 'have', 'keen', 'early', 'bird', 'already', 'smile']"
Go Kisses!!...  I know you can do it..,1,Go Kisses I know you can do it,"['go', 'kiss', 'know', 'can', 'do']"
If this gets 70rts I will giveaway 5 minecraft accounts and an origin account randomly to people who retw,1,If this gets rts I will giveaway  minecraft accounts and an origin account randomly to people who retw,"['get', 'rts', 'will', 'giveaway', 'minecraft', 'account', 'origin', 'account', 'randomly', 'people', 'retw']"
